   ,continent     ,location             ,total_cases ,new_cases ,new_cases_smoothed ,total_deaths ,new_deaths ,new_deaths_smoothed ,total_cases_per_million ,new_cases_per_million ,new_cases_smoothed_per_million ,total_deaths_per_million ,new_deaths_per_million ,total_tests ,new_tests ,total_tests_per_thousand ,new_tests_per_thousand ,new_tests_smoothed ,new_tests_smoothed_per_thousand ,positive_rate ,stringency_index ,population   ,population_density ,median_age ,aged_65_older ,aged_70_older ,gdp_per_capita ,extreme_poverty ,cardiovasc_death_rate ,diabetes_prevalence ,female_smokers ,male_smokers ,hospital_beds_per_thousand ,life_expectancy ,human_development_index
40 ,Asia          ,Kuwait               ,127293.0    ,759.0     ,710.857            ,786.0        ,4.0        ,5.286               ,29807.077               ,177.728               ,166.455                        ,184.051                  ,0.937                  ,933626.0    ,6737.0    ,218.619                  ,1.578                  ,6296.0             ,1.474                           ,0.113         ,62.96            ,4270563.0    ,232.128            ,33.7       ,2.345         ,1.114         ,65530.537      ,                ,132.235               ,15.84               ,2.7            ,37.0         ,2.0                        ,75.49           ,0.8029999999999999
41 ,Europe        ,Latvia               ,6268.0      ,132.0     ,215.857            ,77.0         ,3.0        ,2.429               ,3323.08                 ,69.982                ,114.44                         ,40.823                   ,1.59                   ,465644.0    ,5235.0    ,246.869                  ,2.775                  ,4903.0             ,2.599                           ,0.044         ,45.37            ,1886202.0    ,31.212             ,43.9       ,19.754        ,14.136        ,25063.846      ,0.7             ,350.06                ,4.91                ,25.6           ,51.0         ,5.57                       ,75.29           ,0.847
42 ,Europe        ,Lithuania            ,16556.0     ,837.0     ,801.0              ,170.0        ,4.0        ,4.857               ,6081.642                ,307.462               ,294.237                        ,62.447                   ,1.469                  ,1038164.0   ,          ,381.357                  ,                       ,10545.0            ,3.874                           ,0.076         ,62.5             ,2722291.0    ,45.135             ,43.5       ,19.002        ,13.778        ,29524.265      ,0.7             ,342.989               ,3.67                ,21.3           ,38.0         ,6.56                       ,75.93           ,0.858
43 ,Europe        ,Luxembourg           ,19101.0     ,319.0     ,671.714            ,160.0        ,0.0        ,1.857               ,30513.949               ,509.604               ,1073.067                       ,255.601                  ,0.0                    ,1109504.0   ,10992.0   ,1772.439                 ,17.56                  ,10744.0            ,17.164                          ,0.063         ,56.48            ,625976.0     ,231.447            ,39.7       ,14.312        ,9.842         ,94277.965      ,0.2             ,128.275               ,4.42                ,20.9           ,26.0         ,4.51                       ,82.25           ,0.904
44 ,Europe        ,Macedonia            ,32997.0     ,561.0     ,828.286            ,1025.0       ,21.0       ,13.143              ,15838.205               ,269.274               ,397.568                        ,491.989                  ,10.08                  ,259115.0    ,3211.0    ,124.372                  ,1.541                  ,2637.0             ,1.266                           ,0.314         ,                 ,2083380.0    ,82.6               ,39.1       ,13.26         ,8.16          ,13111.214      ,5.0             ,322.688               ,10.08               ,               ,             ,4.28                       ,75.8            ,0.757
45 ,Africa        ,Malawi               ,5933.0      ,1.0       ,5.571              ,184.0        ,0.0        ,0.143               ,310.142                 ,0.052                 ,0.291                          ,9.618                    ,0.0                    ,63505.0     ,462.0     ,3.32                     ,0.024                  ,413.0              ,0.022                           ,0.013         ,50.93            ,19129955.0   ,197.519            ,18.1       ,2.979         ,1.783         ,1095.042       ,71.4            ,227.349               ,3.94                ,4.4            ,24.7         ,1.3                        ,64.26           ,0.47700000000000004
46 ,Asia          ,Malaysia             ,33339.0     ,834.0     ,790.571            ,251.0        ,2.0        ,2.143               ,1030.062                ,25.768                ,24.426                         ,7.755                    ,0.062                  ,2176725.0   ,19767.0   ,67.253                   ,0.611                  ,18904.0            ,0.584                           ,0.042         ,75.46            ,32365998.0   ,96.254             ,29.9       ,6.293         ,3.407         ,26808.164      ,0.1             ,260.942               ,16.74               ,1.0            ,42.4         ,1.9                        ,76.16           ,0.802
47 ,Asia          ,Maldives             ,11737.0     ,36.0      ,29.286             ,38.0         ,0.0        ,0.143               ,21713.391               ,66.6                  ,54.178                         ,70.3                     ,0.0                    ,203744.0    ,1471.0    ,376.925                  ,2.721                  ,1510.0             ,2.793                           ,0.019         ,                 ,540542.0     ,1454.433           ,30.6       ,4.12          ,2.875         ,15183.616      ,                ,164.905               ,9.19                ,2.1            ,55.0         ,                           ,78.92           ,0.7170000000000001
48 ,North America ,Mexico               ,933155.0    ,3763.0    ,5404.143           ,92100.0      ,205.0      ,418.429             ,7237.533                ,29.186                ,41.914                         ,714.326                  ,1.59                   ,2147834.0   ,15132.0   ,16.659                   ,0.117                  ,11441.0            ,0.089                           ,0.472         ,71.76            ,128932753.0  ,66.444             ,29.3       ,6.857         ,4.321         ,17336.469      ,2.5             ,152.783               ,13.06               ,6.9            ,21.4         ,1.38                       ,75.05           ,0.774
49 ,Africa        ,Morocco              ,225070.0    ,2526.0    ,3617.857           ,3826.0       ,64.0       ,64.714              ,6097.713                ,68.436                ,98.017                         ,103.656                  ,1.734                  ,3388542.0   ,20871.0   ,91.804                   ,0.565                  ,21112.0            ,0.572                           ,0.171         ,65.74            ,36910558.0   ,80.08              ,29.6       ,6.769         ,4.209         ,7485.013       ,1.0             ,419.146               ,7.14                ,0.8            ,47.1         ,1.1                        ,76.68           ,0.667
50 ,Africa        ,Mozambique           ,13130.0     ,142.0     ,138.429            ,94.0         ,1.0        ,0.857               ,420.087                 ,4.543                 ,4.429                          ,3.007                    ,0.032                  ,192285.0    ,932.0     ,6.152                    ,0.03                   ,1322.0             ,0.042                           ,0.105         ,53.7             ,31255435.0   ,37.728             ,17.7       ,3.158         ,1.87          ,1136.103       ,62.9            ,329.942               ,3.3                 ,5.1            ,29.1         ,0.7                        ,60.85           ,0.43700000000000006
51 ,Africa        ,Namibia              ,13012.0     ,24.0      ,48.143             ,133.0        ,0.0        ,0.0                 ,5120.988                ,9.445                 ,18.947                         ,52.343                   ,0.0                    ,129317.0    ,515.0     ,50.894                   ,0.203                  ,837.0              ,0.329                           ,0.058         ,                 ,2540916.0    ,3.078              ,22.0       ,3.552         ,2.085         ,9541.808       ,13.4            ,243.811               ,3.94                ,9.7            ,34.2         ,                           ,63.71           ,0.647
52 ,Asia          ,Nepal                ,176500.0    ,2933.0    ,2381.429           ,984.0        ,24.0       ,17.429              ,6057.63                 ,100.663               ,81.733                         ,33.772                   ,0.824                  ,1480978.0   ,11166.0   ,50.828                   ,0.383                  ,11469.0            ,0.394                           ,0.208         ,62.04            ,29136808.0   ,204.43             ,25.0       ,5.809         ,3.212         ,2442.804       ,15.0            ,260.797               ,7.26                ,9.5            ,37.8         ,0.3                        ,70.78           ,0.574
