,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
112,Europe,Malta,6400.0,218.0,117.571,64.0,0.0,2.0,14494.756000000001,493.728,266.276,144.94799999999998,0.0,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,4.485,82.53,0.878
113,Asia,Myanmar,54607.0,1202.0,1201.0,1282.0,24.0,22.857,1003.6239999999999,22.092,22.073,23.561999999999998,0.441,79.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,0.9,67.13,0.578
114,Europe,Montenegro,19210.0,496.0,328.714,320.0,7.0,7.143,30586.152000000002,789.7310000000001,523.379,509.504,11.145,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,3.861,76.88,0.8140000000000001
115,Asia,Mongolia,350.0,1.0,1.429,,0.0,0.0,106.76299999999999,0.305,0.436,,0.0,,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,7.0,69.87,0.741
116,Africa,Mozambique,13130.0,142.0,138.429,94.0,1.0,0.857,420.087,4.543,4.428999999999999,3.0069999999999997,0.032,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,0.7,60.85,0.43700000000000006
117,Africa,Mauritania,7725.0,8.0,8.857000000000001,163.0,0.0,0.0,1661.412,1.7209999999999999,1.905,35.056,0.0,13.89,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,64.92,0.52
118,Africa,Mauritius,451.0,5.0,1.714,10.0,0.0,0.0,354.625,3.932,1.348,7.8629999999999995,0.0,,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,224.644,22.02,3.4,74.99,0.79
119,Africa,Malawi,5933.0,1.0,5.571000000000001,184.0,0.0,0.14300000000000002,310.142,0.052000000000000005,0.29100000000000004,9.618,0.0,50.93,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,1.3,64.26,0.47700000000000004
120,Asia,Malaysia,33339.0,834.0,790.571,251.0,2.0,2.1430000000000002,1030.062,25.768,24.426,7.755,0.062,75.46,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.9,76.16,0.802
121,Africa,Namibia,13012.0,24.0,48.143,133.0,0.0,0.0,5120.988,9.445,18.947,52.343,0.0,34.26,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,243.81099999999998,3.94,,63.71,0.647
122,Africa,Niger,1222.0,1.0,1.0,69.0,0.0,0.0,50.482,0.040999999999999995,0.040999999999999995,2.85,0.0,24.07,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.3,62.42,0.354
123,Africa,Nigeria,63036.0,72.0,132.143,1147.0,1.0,2.1430000000000002,305.793,0.349,0.6409999999999999,5.564,0.005,50.93,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,,181.013,2.42,,54.69,0.532
124,North America,Nicaragua,5514.0,0.0,11.429,156.0,0.0,0.14300000000000002,832.3580000000001,0.0,1.725,23.549,0.0,8.33,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,137.016,11.47,0.9,74.48,0.6579999999999999
