"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"136","Poland","Europe","very high",10449.55,411.609,155.232,71.3,37846605,124.027,41.8,16.763,27216.445,0.5,227.331,5.91,6.62,78.73,0.865
"137","Portugal","Europe","very high",14401.414,245.766,254.004,62.96,10196707,112.371,46.2,21.502,27936.896,0.5,127.842,9.85,3.39,82.05,0.847
"138","Paraguay","South America","high",8994.845,59.586,200.35,62.04,7132530,17.144,26.5,6.378,8827.01,1.7,199.128,8.27,1.3,74.25,0.702
"139","Palestine","Asia","medium",13045.594,146.822,110.754,40.74,5101416,778.202,20.4,3.043,4449.898,1,265.91,10.59,0.53,74.05,0.686
"140","Qatar","Asia","very high",46134.756,68.378,80.526,64.81,2881060,227.322,31.9,1.307,116935.6,0.5,176.69,16.52,1.2,80.23,0.856
"141","Romania","Europe","very high",13031.923,210.056,371.822,54.63,19237682,85.129,43,17.85,23313.199,5.7,370.946,9.74,6.892,76.05,0.811
"142","Russia","Europe","very high",11340.968,125.104,195.108,44.91,145934460,8.823,39.6,14.178,24765.954,0.1,431.297,6.18,8.05,72.58,0.816
"143","Rwanda","Africa","low",398.002,0.695,2.702,69.44,12952209,494.869,20.3,2.974,1854.211,56,191.375,4.28,0.7,69.02,0.524
"144","Saudi Arabia","Asia","very high",9997.08,10.944,156.173,55.56,34813867,15.322,31.9,3.295,49045.411,0.5,259.538,17.72,2.7,75.13,0.853
"145","Sudan","Africa","low",315.148,0,19.088,32.41,43849269,23.258,19.7,3.548,4466.507,35.3,431.388,15.67,0.8,65.31,0.502
"146","Senegal","Africa","low",933.891,0.418,19.41,37.96,16743930,82.328,18.7,3.008,2470.58,38,241.219,2.42,0.8,67.94,0.505
"147","Singapore","Asia","very high",9917.367,0.171,4.786,52.78,5850343,7915.731,42.4,12.922,85535.383,1.2,92.243,10.99,2.4,83.62,0.932
"148","Solomon Islands","Oceania","low",11.647,0,20.117,43.52,686878,21.841,20.8,3.507,2205.923,25.1,459.78,18.68,1.4,73,0.546
"149","Sierra Leone","Africa","low",296.603,0,9.277,31.48,7976985,104.7,19.1,2.538,1390.3,52.2,325.721,2.42,1,54.7,0.419
"150","El Salvador","North America","medium",5244.21,0,152.169,52.78,6486201,307.811,27.6,8.273,7292.458,2.2,167.295,8.87,1.3,73.32,0.674
"151","Serbia","Europe","high",7231.142,117.862,122.417,40.74,6804596,80.291,41.2,17.366,14048.881,2.5,439.415,10.08,5.609,76,0.787
"152","South Sudan","Africa","low",261.396,0,5.271,66.67,11193729,7.479,19.2,3.441,1569.888,35.3,280.775,10.43,0.8,57.85,0.388
"153","Sao Tome and Principe","Africa","medium",4330.15,0,73.006,52.78,219161,212.841,18.7,2.886,3052.714,32.3,270.113,2.42,2.9,70.39,0.589
"154","Suriname","South America","high",8884.586,3.409,189.215,68.52,586634,3.612,29.6,6.933,13767.119,0.5,258.314,12.54,3.1,71.68,0.72
"155","Slovakia","Europe","very high",11324.733,344.894,40.113,73.15,5459643,113.128,41.2,15.07,30155.152,0.7,287.959,7.29,5.82,77.54,0.855
"156","Slovenia","Europe","very high",17415.673,267.926,120.735,68.52,2078932,102.619,44.5,19.062,31400.84,0.7,153.493,7.25,4.5,81.32,0.896
"157","Sweden","Europe","very high",13357.104,155.457,598.657,55.56,10099270,24.718,41,19.985,46949.283,0.5,133.982,4.79,2.22,82.8,0.933
"158","Swaziland","Africa","medium",5110.484,3.448,100.848,48.15,1160164,79.492,21.5,3.163,7738.975,22.7,333.436,3.94,2.1,60.19,0.588
"159","Seychelles","Africa","high",1576.164,20.338,20.833,69.44,98340,208.354,36.2,8.606,26382.287,1.1,242.648,10.55,3.6,73.4,0.797
"160","Syria","Asia","low",333.873,3.086,16.857,40.74,17500657,29.715,21.7,2.538,1899.775,25.1,376.264,4,1.5,72.7,0.536
"161","Chad","Africa","low",91.259,0.061,5.966,66.67,16425859,11.833,16.7,2.486,1768.153,38.4,280.995,6.1,1.3,54.24,0.404
"162","Togo","Africa","low",285.551,0.846,6.885,57.41,8278737,143.366,19.4,2.839,1429.813,49.2,280.033,6.15,0.7,61.04,0.503
"163","Thailand","Asia","high",54.398,0.143,0.845,43.52,69799978,135.132,40.1,11.373,16277.671,0.1,109.861,7.04,2.1,77.15,0.755
"164","Tajikistan","Asia","medium",1163.39,4.404,8.598,37.04,9537642,64.281,23.3,3.466,2896.913,4.8,427.698,7.11,4.8,71.1,0.65
"165","Timor","Asia","medium",22.754,0,19.088,24.07,1318442,87.176,18,3.556,6570.102,30.3,335.346,6.86,5.9,69.5,0.625
"166","Trinidad and Tobago","North America","high",4075.768,25.724,77.885,77.78,1399491,266.886,36.2,10.014,28763.071,2,228.467,10.97,3,73.51,0.784
"167","Tunisia","Africa","high",5238.007,0,116.85,62.96,11818618,74.228,32.7,8.001,10849.297,2,318.991,8.52,2.3,76.7,0.735
