,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
29941,LBR      ,Africa        ,Liberia                          ,1498.0      ,7.0       ,8.0                ,82.0         ,0.0        ,0.0                 ,296.183                 ,1.384                 ,1.582                          ,16.213                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5057677.0,49.127             ,19.2       ,3.057         ,1.756         ,752.788        ,38.6            ,272.509               ,2.42                ,1.5            ,18.1         ,1.188                  ,0.8                        ,64.1            ,0.435
30198,LBY      ,Africa        ,Libya                            ,72628.0     ,0.0       ,798.429            ,995.0        ,0.0        ,10.714              ,10569.781               ,0.0                   ,116.198                        ,144.805                  ,0.0                    ,1.559                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,6871287.0,3.623              ,29.0       ,4.424         ,2.816         ,17881.509      ,                ,341.862               ,10.43               ,               ,             ,                       ,3.7                        ,72.91           ,0.706
30449,LIE      ,Europe        ,Liechtenstein                    ,970.0       ,21.0      ,29.286             ,4.0          ,0.0        ,0.143               ,25434.617               ,550.646               ,767.908                        ,104.885                  ,0.0                    ,3.746                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,38137.0,237.012            ,           ,              ,              ,               ,                ,                      ,7.77                ,               ,             ,                       ,2.397                      ,82.49           ,0.9159999999999999
30770,LTU      ,Europe        ,Lithuania                        ,33387.0     ,1509.0    ,1524.0             ,266.0        ,13.0       ,9.0                 ,12264.302               ,554.313               ,559.823                        ,97.712                   ,4.775                  ,3.306                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2722291.0,45.135             ,43.5       ,19.002        ,13.778        ,29524.265      ,0.7             ,342.989               ,3.67                ,21.3           ,38.0         ,                       ,6.56                       ,75.93           ,0.858
31091,LUX      ,Europe        ,Luxembourg                       ,25931.0     ,713.0     ,492.857            ,219.0        ,8.0        ,4.857               ,41424.911               ,1139.021              ,787.342                        ,349.854                  ,12.78                  ,7.759                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,625976.0,231.447            ,39.7       ,14.312        ,9.842         ,94277.965      ,0.2             ,128.275               ,4.42                ,20.9           ,26.0         ,                       ,4.51                       ,82.25           ,0.904
31412,MKD      ,Europe        ,Macedonia                        ,46062.0     ,1164.0    ,1040.0             ,1281.0       ,18.0       ,24.429              ,22109.265               ,558.707               ,499.189                        ,614.866                  ,8.64                   ,11.725                          ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2083380.0,82.6               ,39.1       ,13.26         ,8.16          ,13111.214      ,5.0             ,322.688               ,10.08               ,               ,             ,                       ,4.28                       ,75.8            ,0.757
31652,MDG      ,Africa        ,Madagascar                       ,17233.0     ,0.0       ,2.857              ,249.0        ,0.0        ,0.0                 ,622.332                 ,0.0                   ,0.103                          ,8.992                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,27691019.0,43.951             ,19.6       ,2.929         ,1.686         ,1416.44        ,77.6            ,405.994               ,3.94                ,               ,             ,50.54                  ,0.2                        ,67.04           ,0.519
31884,MWI      ,Africa        ,Malawi                           ,5964.0      ,2.0       ,2.286              ,185.0        ,0.0        ,0.143               ,311.762                 ,0.105                 ,0.119                          ,9.671                    ,0.0                    ,0.007                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,19129955.0,197.519            ,18.1       ,2.979         ,1.783         ,1095.042       ,71.4            ,227.349               ,3.94                ,4.4            ,24.7         ,8.704                  ,1.3                        ,64.26           ,0.47700000000000004
32205,MYS      ,Asia          ,Malaysia                         ,46209.0     ,1114.0    ,978.857            ,306.0        ,2.0        ,3.429               ,1427.702                ,34.419                ,30.243                         ,9.454                    ,0.062                  ,0.106                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,32365998.0,96.254             ,29.9       ,6.293         ,3.407         ,26808.164      ,0.1             ,260.942               ,16.74               ,1.0            ,42.4         ,                       ,1.9                        ,76.16           ,0.802
32456,MDV      ,Asia          ,Maldives                         ,12154.0     ,42.0      ,27.429             ,42.0         ,1.0        ,0.429               ,22484.839               ,77.7                  ,50.743                         ,77.7                     ,1.85                   ,0.793                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,540542.0,1454.433           ,30.6       ,4.12          ,2.875         ,15183.616      ,                ,164.905               ,9.19                ,2.1            ,55.0         ,95.803                 ,                           ,78.92           ,0.7170000000000001
32691,MLI      ,Africa        ,Mali                             ,3806.0      ,14.0      ,18.571             ,139.0        ,1.0        ,0.286               ,187.943                 ,0.691                 ,0.917                          ,6.864                    ,0.049                  ,0.014                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,20250834.0,15.196             ,16.4       ,2.519         ,1.486         ,2014.306       ,                ,268.024               ,2.42                ,1.6            ,23.0         ,52.232                 ,0.1                        ,59.31           ,0.42700000000000005
32975,MLT      ,Europe        ,Malta                            ,7917.0      ,271.0     ,125.429            ,95.0         ,7.0        ,3.286               ,17930.466               ,613.762               ,284.071                        ,215.157                  ,15.854                 ,7.442                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,441539.0,1454.037           ,42.4       ,19.426        ,11.324        ,36513.323      ,0.2             ,168.711               ,8.83                ,20.9           ,30.2         ,                       ,4.485                      ,82.53,0.878
32993,MHL      ,Oceania       ,Marshall Islands                 ,1.0         ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,16.894                  ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,59194.0,295.15             ,           ,              ,              ,3819.202       ,                ,557.793               ,30.53               ,               ,             ,82.502                 ,2.7                        ,73.7,0.708
33239,MRT      ,Africa        ,Mauritania                       ,7885.0      ,0.0       ,12.143             ,165.0        ,0.0        ,0.0                 ,1695.823                ,0.0                   ,2.612                          ,35.486                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4649660.0,4.289              ,20.3       ,3.138         ,1.792         ,3597.633       ,6.0             ,232.347               ,2.42                ,               ,             ,15.95                  ,                           ,64.92,0.52
33480,MUS      ,Africa        ,Mauritius                        ,470.0       ,0.0       ,2.571              ,10.0         ,0.0        ,0.0                 ,369.565                 ,0.0                   ,2.022                          ,7.863                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1271767.0,622.962            ,37.4       ,10.945        ,5.884         ,20292.745      ,0.5             ,224.644               ,22.02               ,3.2            ,40.7         ,                       ,3.4                        ,74.99,0.79
33801,MEX      ,North America ,Mexico                           ,1003253.0   ,5860.0    ,5902.143           ,98259.0      ,635.0      ,493.0               ,7781.211                ,45.45                 ,45.777                         ,762.095                  ,4.925                  ,3.824                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,128932753.0,66.444             ,29.3       ,6.857         ,4.321         ,17336.469      ,2.5             ,152.783               ,13.06               ,6.9            ,21.4         ,87.847                 ,1.38                       ,75.05,0.774
34052,MDA      ,Europe        ,Moldova                          ,88772.0     ,1411.0    ,1013.857           ,2006.0       ,19.0       ,16.429              ,22006.151               ,349.78                ,251.33                         ,497.278                  ,4.71                   ,4.073                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4033963.0,123.655            ,37.6       ,10.864        ,6.955         ,5189.972       ,0.2             ,408.502               ,5.72                ,5.9            ,44.6         ,86.979                 ,5.8                        ,71.9,0.7
34373,MCO      ,Europe        ,Monaco                           ,545.0       ,5.0       ,8.857              ,1.0          ,0.0        ,0.0                 ,13887.473               ,127.408               ,225.694                        ,25.482                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,39244.0,19347.5            ,           ,              ,              ,               ,                ,                      ,5.46                ,               ,             ,                       ,13.8                       ,86.75,
34620,MNG      ,Asia          ,Mongolia                         ,428.0       ,12.0      ,9.571              ,             ,0.0        ,0.0                 ,130.556                 ,3.66                  ,2.92                           ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3278292.0,1.98               ,28.6       ,4.031         ,2.421         ,11840.846      ,0.5             ,460.043               ,4.82                ,5.5            ,46.5         ,71.18                  ,7.0                        ,69.87,0.741
34863,MNE      ,Europe        ,Montenegro                       ,26686.0     ,577.0     ,615.286            ,385.0        ,8.0        ,7.429               ,42489.436               ,918.699               ,979.658                        ,612.997                  ,12.738                 ,11.828                          ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,628062.0,46.28              ,39.1       ,14.762        ,9.395         ,16409.288      ,1.0             ,387.305               ,10.08               ,44.0           ,47.9         ,                       ,3.861                      ,76.88,0.8140000000000001
35103,MSR      ,North America ,Montserrat                       ,13.0        ,0.0       ,0.0                ,1.0          ,0.0        ,0.0                 ,2600.52                 ,0.0                   ,0.0                            ,200.04                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4999.0,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,74.16,
35386,MAR      ,Africa        ,Morocco                          ,288211.0    ,5875.0    ,5146.571           ,4697.0       ,66.0       ,71.429              ,7808.362                ,159.169               ,139.434                        ,127.254                  ,1.788                  ,1.935                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,36910558.0,80.08              ,29.6       ,6.769         ,4.209         ,7485.013       ,1.0             ,419.146               ,7.14                ,0.8            ,47.1         ,                       ,1.1                        ,76.68,0.667
35624,MOZ      ,Africa        ,Mozambique                       ,14340.0     ,113.0     ,109.0              ,110.0        ,0.0        ,1.571               ,458.8                   ,3.615                 ,3.487                          ,3.519                    ,0.0                    ,0.05                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,31255435.0,37.728             ,17.7       ,3.158         ,1.87          ,1136.103       ,62.9            ,329.942               ,3.3                 ,5.1            ,29.1         ,12.227                 ,0.7                        ,60.85,0.43700000000000006
35863,MMR      ,Asia          ,Myanmar                          ,68011.0     ,1277.0    ,1094.714           ,1552.0       ,18.0       ,22.286              ,1249.977                ,23.47                 ,20.12                          ,28.524                   ,0.331                  ,0.41                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,54409794.0,81.721             ,29.1       ,5.732         ,3.12          ,5591.597       ,6.4             ,202.104               ,4.61                ,6.3            ,35.2         ,79.287                 ,0.9                        ,67.13,0.578
36109,NAM      ,Africa        ,Namibia                          ,13449.0     ,77.0      ,39.857             ,138.0        ,0.0        ,0.571               ,5292.973                ,30.304                ,15.686                         ,54.311                   ,0.0                    ,0.225                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2540916.0,3.078              ,22.0       ,3.552         ,2.085         ,9541.808       ,13.4            ,243.811               ,3.94                ,9.7            ,34.2         ,44.6                   ,                           ,63.71,0.647
36430,NPL      ,Asia          ,Nepal                            ,208299.0    ,1946.0    ,2380.429           ,1215.0       ,13.0       ,18.286              ,7148.999                ,66.788                ,81.698                         ,41.7                     ,0.446                  ,0.628                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,29136808.0,204.43             ,25.0       ,5.809         ,3.212         ,2442.804       ,15.0            ,260.797               ,7.26                ,9.5            ,37.8         ,47.782                 ,0.3                        ,70.78,0.574
36751,NLD      ,Europe        ,Netherlands                      ,441927.0    ,5903.0    ,5430.429           ,8432.0       ,85.0       ,68.857              ,25791.087               ,344.502               ,316.923                        ,492.096                  ,4.961                  ,4.019                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,17134873.0,508.544            ,43.2       ,18.779        ,11.881        ,48472.545      ,                ,109.361               ,5.29                ,24.4           ,27.3         ,                       ,3.32                       ,82.28,0.9309999999999999
36991,NCL      ,Oceania       ,New Caledonia                    ,30.0        ,0.0       ,0.143              ,             ,0.0        ,0.0                 ,105.082                 ,0.0                   ,0.5                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,285491.0,15.342             ,33.4       ,9.954         ,6.489         ,               ,                ,                      ,23.36               ,               ,             ,                       ,                           ,77.55,
37312,NZL      ,Oceania       ,New Zealand                      ,1645.0      ,3.0       ,2.714              ,25.0         ,0.0        ,0.0                 ,341.128                 ,0.622                 ,0.563                          ,5.184                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4822233.0,18.206             ,37.9       ,15.322        ,9.72          ,36085.843      ,                ,128.797               ,8.08                ,14.8           ,17.2         ,                       ,2.61                       ,82.29,0.917
37554,NIC      ,North America ,Nicaragua                        ,5661.0      ,0.0       ,10.0               ,158.0        ,0.0        ,0.143               ,854.548                 ,0.0                   ,1.51                           ,23.851                   ,0.0                    ,0.022                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,6624554.0,51.667             ,27.3       ,5.445         ,3.519         ,5321.444       ,3.2             ,137.016               ,11.47               ,               ,             ,                       ,0.9                        ,74.48,0.6579999999999999
37794,NER      ,Africa        ,Niger                            ,1301.0      ,12.0      ,8.429              ,70.0         ,1.0        ,0.143               ,53.746                  ,0.496                 ,0.348                          ,2.892                    ,0.041                  ,0.006                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,24206636.0,16.955             ,15.1       ,2.553         ,1.378         ,926.0          ,44.5            ,238.339               ,2.42                ,0.1            ,15.4         ,8.978                  ,0.3                        ,62.42,0.354
38115,NGA      ,Africa        ,Nigeria                          ,64996.0     ,112.0     ,172.286            ,1163.0       ,0.0        ,1.286               ,315.301                 ,0.543                 ,0.836                          ,5.642                    ,0.0                    ,0.006                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,206139587.0,209.588            ,18.1       ,2.751         ,1.447         ,5338.454       ,                ,181.013               ,2.42                ,0.6            ,10.8         ,41.949                 ,                           ,54.69,0.532
38345,MNP      ,Oceania       ,Northern Mariana Islands         ,100.0       ,0.0       ,0.286              ,2.0          ,0.0        ,0.0                 ,1737.408                ,0.0                   ,4.964                          ,34.748                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,57557.0,119.878            ,           ,              ,              ,               ,                ,194.994               ,                    ,               ,             ,                       ,                           ,76.74,
38666,NOR      ,Europe        ,Norway                           ,27226.0     ,0.0       ,571.571            ,294.0        ,0.0        ,1.286               ,5022.096                ,0.0                   ,105.432                        ,54.231                   ,0.0                    ,0.237                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5421242.0,14.462             ,39.7       ,16.821        ,10.813        ,64800.057      ,0.2             ,114.316               ,5.31                ,19.6           ,20.7         ,                       ,3.6                        ,82.4,0.953
38987,OMN      ,Asia          ,Oman                             ,119442.0    ,0.0       ,325.0              ,1326.0       ,0.0        ,5.714               ,23389.63                ,0.0                   ,63.643                         ,259.663                  ,0.0                    ,1.119                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5106622.0,14.98              ,30.7       ,2.355         ,1.53          ,37960.709      ,                ,266.342               ,12.61               ,0.5            ,15.6         ,97.4                   ,1.6                        ,77.86,0.821
39308,PAK      ,Asia          ,Pakistan                         ,356904.0    ,2443.0    ,1959.286           ,7141.0       ,32.0       ,24.714              ,1615.737                ,11.06                 ,8.87                           ,32.328                   ,0.145                  ,0.112                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,220892331.0,255.573            ,23.5       ,4.495         ,2.78          ,5034.708       ,4.0             ,423.031               ,8.35                ,2.8            ,36.7         ,59.607                 ,0.6                        ,67.27,0.562
39562,PSE      ,Asia          ,Palestine                        ,74350.0     ,653.0     ,676.857            ,633.0        ,10.0       ,7.0                 ,14574.385               ,128.004               ,132.68                         ,124.083                  ,1.96                   ,1.372                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5101416.0,778.202            ,20.4       ,3.043         ,1.726         ,4449.898       ,1.0             ,265.91                ,10.59               ,               ,             ,                       ,                           ,74.05,0.6859999999999999
39814,PAN      ,North America ,Panama                           ,145309.0    ,832.0     ,971.857            ,2867.0       ,11.0       ,12.286              ,33677.129               ,192.826               ,225.24                         ,664.462                  ,2.549                  ,2.847                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4314768.0,55.133             ,29.7       ,7.918         ,5.03          ,22267.037      ,2.2             ,128.346               ,8.33                ,2.4            ,9.9          ,                       ,2.3                        ,78.51,0.789
40054,PNG      ,Oceania       ,Papua New Guinea                 ,600.0       ,0.0       ,0.429              ,7.0          ,0.0        ,0.0                 ,67.061                  ,0.0                   ,0.048                          ,0.782                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,8947027.0,18.22              ,22.6       ,3.808         ,2.142         ,3823.194       ,                ,561.494               ,17.65               ,23.5           ,48.8         ,                       ,                           ,64.5,0.544
40308,PRY      ,South America ,Paraguay                         ,71065.0     ,673.0     ,589.143            ,1569.0       ,13.0       ,12.857              ,9963.505                ,94.356                ,82.599                         ,219.978                  ,1.823                  ,1.803                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,7132530.0,17.144             ,26.5       ,6.378         ,3.833         ,8827.01        ,1.7             ,199.128               ,8.27                ,5.0            ,21.6         ,79.602                 ,1.3                        ,74.25,0.7020000000000001
40570,PER      ,South America ,Peru                             ,934899.0    ,2249.0    ,2127.0             ,35177.0      ,71.0       ,48.143              ,28354.463               ,68.21                 ,64.51                          ,1066.88                  ,2.153                  ,1.46                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,32971846.0,25.129             ,29.1       ,7.151         ,4.455         ,12236.706      ,3.5             ,85.755                ,5.95                ,4.8            ,             ,                       ,1.6                        ,76.74,0.75
40891,PHL      ,Asia          ,Philippines                      ,406337.0    ,1624.0    ,1768.0             ,7791.0       ,39.0       ,43.714              ,3708.094                ,14.82                 ,16.134                         ,71.098                   ,0.356                  ,0.399                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,109581085.0,351.873            ,25.2       ,4.803         ,2.661         ,7599.188       ,                ,370.437               ,7.07                ,7.8            ,40.8         ,78.463                 ,1.0                        ,71.23,0.6990000000000001
41146,POL      ,Europe        ,Poland                           ,691118.0    ,25571.0   ,24211.143          ,10045.0      ,546.0      ,344.143             ,18261.03                ,675.648               ,639.718                        ,265.414                  ,14.427                 ,9.093                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,37846605.0,124.027            ,41.8       ,16.763        ,10.202        ,27216.445      ,                ,227.331               ,5.91                ,23.3           ,33.1         ,                       ,6.62                       ,78.73,0.865
41410,PRT      ,Europe        ,Portugal                         ,211266.0    ,6602.0    ,5389.429           ,3305.0       ,55.0       ,65.286              ,20719.042               ,647.464               ,528.546                        ,324.124                  ,5.394                  ,6.403                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,10196707.0,112.371            ,46.2       ,21.502        ,14.924        ,27936.896      ,0.5             ,127.842               ,9.85                ,16.3           ,30.0         ,                       ,3.39                       ,82.05,0.847
41643,PRI      ,North America ,Puerto Rico                      ,76907.0     ,917.0     ,778.857            ,921.0        ,7.0        ,8.429               ,26882.664               ,320.535               ,272.248                        ,321.933                  ,2.447                  ,2.946                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2860840.0,376.232            ,38.2       ,15.168        ,9.829         ,35044.67       ,                ,108.094               ,12.9                ,               ,             ,                       ,                           ,80.1,
41964,QAT      ,Asia          ,Qatar                            ,135785.0    ,418.0     ,253.143            ,234.0        ,0.0        ,0.286               ,47130.223               ,145.085               ,87.864                         ,81.22                    ,0.0                    ,0.099                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2881060.0,227.322            ,31.9       ,1.307         ,0.617         ,116935.6       ,                ,176.69                ,16.52               ,0.8            ,26.9         ,                       ,1.2                        ,80.23,0.856
